Ticker,EBIT,Operating Income,Gross Profit,Total Revenue,Net Income,EBITDA,Invested Capital,Total Assets,Current Liabilities,Total Debt,Capital Expenditure,Free Cash Flow
SLB,5785000000.0,5488000000.0,6563000000.0,33135000000.0,4203000000.0,7544000000.0,32154000000.0,47957000000.0,13395000000.0,11965000000.0,-2092000000.0,4545000000.0
EG,2288000000.0,,,14463000000.0,2517000000.0,,16610000000.0,49399000000.0,,3408000000.0,,4553000000.0
IVZ,-167400000.0,-393200000.0,2005400000.0,5716400000.0,-96900000.0,1131400000.0,19198400000.0,28933800000.0,1254600000.0,9045000000.0,-164300000.0,1136500000.0
NCLH,890707000.0,930911000.0,3081337000.0,8549924000.0,166178000.0,1773943000.0,14359732000.0,19492990000.0,6038701000.0,14058925000.0,-2750362000.0,-744648000.0
TEL,2348000000.0,2677000000.0,5055000000.0,16034000000.0,1910000000.0,3142000000.0,15762000000.0,21712000000.0,4463000000.0,4329000000.0,-732000000.0,2400000000.0
GRMN,1092160000.0,1092160000.0,3004955000.0,5228252000.0,1289636000.0,1269732000.0,7012060000.0,8603569000.0,1310687000.0,113035000.0,-195028000.0,1181237000.0
LIN,8401000000.0,8269000000.0,15362000000.0,32854000000.0,6199000000.0,12217000000.0,59093000000.0,80811000000.0,15717000000.0,20315000000.0,-3787000000.0,5518000000.0
ACN,9186857000.0,8809889000.0,20731607000.0,64111745000.0,6871557000.0,10587612000.0,25840742000.0,51245305000.0,18009038000.0,3149034000.0,-528172000.0,8996096000.0
STX,-183000000.0,60000000.0,1351000000.0,7384000000.0,-529000000.0,330000000.0,4252000000.0,7556000000.0,2592000000.0,5835000000.0,-316000000.0,626000000.0
IR,1187800000.0,1241500000.0,2882200000.0,6876100000.0,778700000.0,1646900000.0,12507400000.0,15563500000.0,1827300000.0,2765200000.0,-105400000.0,1272000000.0
ETN,3978000000.0,3885000000.0,8434000000.0,23196000000.0,3218000000.0,4904000000.0,28305000000.0,38432000000.0,7747000000.0,9802000000.0,-757000000.0,2867000000.0
WTW,1514000000.0,1819000000.0,4139000000.0,9483000000.0,1055000000.0,2019000000.0,14737000000.0,29090000000.0,12630000000.0,5941000000.0,-242000000.0,1103000000.0
ALLE,710300000.0,715900000.0,1581500000.0,3650800000.0,540400000.0,821900000.0,3333300000.0,4311500000.0,1079700000.0,2015000000.0,-84200000.0,516400000.0
STE,847161000.0,862163000.0,2218160000.0,5138701000.0,378239000.0,1412405000.0,9508264000.0,11063697000.0,931127000.0,3383167000.0,-360326000.0,612948000.0
TT,2801800000.0,2894000000.0,5857200000.0,17677600000.0,2023900000.0,3149900000.0,11775000000.0,19391900000.0,6053500000.0,4779800000.0,-300700000.0,2088900000.0
AON,3653000000.0,3822000000.0,6474000000.0,13376000000.0,2564000000.0,3909000000.0,10373000000.0,33959000000.0,21651000000.0,12032000000.0,-252000000.0,3183000000.0
APTV,1622000000.0,1770000000.0,3439000000.0,20051000000.0,2938000000.0,2534000000.0,17747000000.0,24427000000.0,4808000000.0,6787000000.0,-906000000.0,990000000.0
AMCR,1541000000.0,1404000000.0,2725000000.0,14694000000.0,1048000000.0,2127000000.0,10772000000.0,17003000000.0,4476000000.0,7209000000.0,-526000000.0,735000000.0
RCL,3106000000.0,2878000000.0,6125000000.0,13900000000.0,1697000000.0,4561000000.0,26176000000.0,35131000000.0,9401000000.0,22130000000.0,-3897000000.0,580000000.0
LYB,3104000000.0,3571000000.0,5258000000.0,41107000000.0,2114000000.0,4638000000.0,24162000000.0,37000000000.0,7150000000.0,13001000000.0,-1531000000.0,3411000000.0
NXPI,3790000000.0,3676000000.0,7553000000.0,13276000000.0,2797000000.0,4896000000.0,19819000000.0,24353000000.0,4111000000.0,11175000000.0,-1006000000.0,2507000000.0
CCL,2004000000.0,1956000000.0,7276000000.0,21593000000.0,-74000000.0,4374000000.0,37455000000.0,49120000000.0,11481000000.0,31891000000.0,-3284000000.0,997000000.0
AFL,5457000000.0,,,18838000000.0,4659000000.0,,29225000000.0,126724000000.0,,7364000000.0,,3190000000.0
